"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"45SL89A5","book","2016","Gordon, Mordechai","Existential philosophy and the promise of education : learning from myths and metaphors","","978-1-4331-3032-8","","","","","2016","2026-02-02 18:47:42","2026-02-02 18:50:53","","","","","","","","","","","","","Peter Lang","New York","eng","","","","","","","Publication Title: Existential philosophy and the promise of education : learning from myths and metaphors LCCN: 2015036103","","","","Education – Philosophy; Existentialism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8I6BALQ","journalArticle","2020","Saner, Göze","Exercising Freedom: An Arendtian clown training utopia","Performance research","","1352-8165","","","Göze Saner's 'Exercising Freedom: An Arendtian clown training utopia' proposes a performance pedagogy that consists in exercises of/for freedom. Steering clear of approaches to training that claim to free a performer's body or voice, Saner instead offers a close reading of political philosopher Hannah Arendt's theatrical understanding of freedom and political action (particularly 'Action' in The Human Condition and ""What is Freedom?"" in Between Past and Future) to extract the skills and qualities required of an actor to publicly perform an action that is 'wholly unexpected and unforeseen' (Arendt 1960: 43), make a new beginning, reveal who they are as well as the cracks in systems that appear unchangeable and bring about the experience of freedom, not only for themselves, but also, and more importantly, for the witnesses. How does one train to perform the event of freedom in the Arendtian sense? Following the image of Greta Thunberg on her first school strike, the article investigates how a personal action can resonate historically and incite collective activism. Given the unique relationship between a single performer and multiple spectators, the solo genre resonates with Arendt's description of freedom; however, it also raises specific challenges-particularly with respect to the neoliberalist celebration of a different kind of individual freedom and its influence on solo performance as a paradigm. Touching briefly upon solo documentary performance and solo autobiographical performance, the article arrives at clowning, as a solo form of training, acting and relating. Analysing Avner Eisenberg's clown pedagogy as well as Alison Hodge's core training, viewed here as clown training insofar as the ensemble becomes a space for solo emergence, the article formulates a training utopia that exercises-that is, rehearses, practises, educates, keeps working-an Arendtian freedom in action and thereby extends an invitation for all to be a Greta Thunberg.","2020","2026-02-02 18:47:42","2026-02-02 18:47:42","","146-154","","8","25","","","","","","","","Routledge","","eng","2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group. 2021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CZ6UDB7Z","bookSection","2018","Gunter, Helen M","Action: professionals learning to labour","The Politics of Public Education","1-4473-3958-4","","","","This chapter suggests that the combination of the ‘uncommon’ knowledges for and about the curriculum and teacher readies both for schools as businesses, where data on pupil outcomes has come to dominate the design and delivery of the curriculum and pedagogy for a segregated marketplace. Core to this has been a shift in accountability away from collegiality and peer review towards data-determined performance measurement as competent teaching. Teachers and teaching are now directly implicated in the construction and maintenance of sectarian divides based on uncommon knowledges. The chapter explores these trends using Hannah Arendt's identification of labour, work, and action. It first outlines her ideas before critically engaging with the notion and realities of performance accountability.","2018","2026-02-02 18:47:42","2026-02-02 18:47:42","","","","","","","","","","","","","Policy Press","","eng","","","","","","","","","","","curriculum; Educational Strategies and Policy; Hannah Arendt; performance accountability; performance measurement; teachers; teaching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BBYRTTZF","journalArticle","2024","Charman, Karen","Knowledge in the public realm – the educative agent","Qualitative research journal","","1443-9883","","","PurposeThe purpose of the project was to intervene in a deficit reading of communities. This article engages public pedagogy in a way that suggests a new approach to the field. To this end, both the terms public and pedagogy are interrogated.Design/methodology/approachThe approach in this paper is an analysis of a qualitative research project: the knowledge project and pop-up school. The theoretical framework used to undertake the analysis of this project is Hannah Arendt's conceptualisation of the public realm and Michele Foucault's use of parrhesia (the truth teller), alongside Foucault's work on power.FindingsThis article offers a whole new subject position that of the educative agent. Further, this article suggests that the educative agent takes a carriage of knowledge and therefore enacts authority.Originality/valueThis article is an original theoretical engagement with knowledge, authority and power.","2024","2026-02-02 18:47:42","2026-02-02 18:47:42","","80-89","","1","24","","","","","","","","Emerald Publishing Limited","Armidale","eng","Emerald Publishing Limited","","","","","","","","","","Core curriculum; Curricula; Economics; Education; Educational Attainment; Educational Experience; Geographic Location; Knowledge; Literacy; Numeracy; Reading; Recognition (Achievement); Research Projects; Speech; Teaching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JI9UV72X","journalArticle","2017","BERGDAHL, LOVISA; LANGMANN, ELISABET","‘Where are You?’ Giving Voice to the Teacher by Reclaiming the Private/Public Distinction","Journal of philosophy of education","","0309-8249","","","In a time of cultural pluralism and legitimation crisis (Habermas), there is an increasing uncertainty among teachers in Sweden about with what right they are fostering other people's children. What does it mean to teach ‘common values’ to the coming generation? How do teachers find legitimacy and authority for this endeavour, not as family members or as politicians, but as teachers? To respond to this uncertainty, the paper takes the public/private distinction as a starting‐point for rethinking the place of the school. Drawing on the work of Hannah Arendt and of Jan Masschelein and Maarten Simons, it argues that the school is an in‐between place—a place that transforms values into ‘common goods’ and turns fostering into a teaching matter. The overall purpose of the paper is to sketch out the consequences of this ‘in‐betweenness’ for what it means to find one's voice as a teacher in fostering the coming generation.","2017","2026-02-02 18:47:42","2026-02-02 18:47:42","","461-475","","2","51","","","","","","","","Wiley","HOBOKEN","eng","2017 The Philosophy of Education Society of Great Britain.","","","","","","","","","","Teaching; Cultural Pluralism; Education & Educational Research; Educational philosophy; Educational Practices; Foreign Countries; Habermas Jurgen; History Of Social Sciences; Legitimacy; Legitimation; Multiculturalism & pluralism; Pedagogy; Private schools; Relatives; Role of Education; School Role; Social Sciences; Social Sciences - Other Topics; Teacher Empowerment; Teacher Role; Teachers; Uncertainty; Values; Values Education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79LH5ZHP","book","2011","Higgins, Chris","The Good Life of Teaching: An Ethics of Professional Practice","","978-1-4443-4651-0","","","","The Good Life of Teaching extends the recent revival of virtue ethics to professional ethics and the philosophy of teaching. It connects long-standing philosophical questions about work and human growth to questions about teacher motivation, identity, and development. * Makes a significant contribution to the philosophy of teaching and also offers new insights into virtue theory and professional ethics * Offers fresh and detailed readings of major figures in ethics, including Alasdair MacIntyre, Charles Taylor, and Bernard Williams and the practical philosophies of Hannah Arendt, John Dewey and Hans-Georg Gadamer * Provides illustrations to assist the reader in visualizing major points, and integrates sources such as film, literature, and teaching memoirs to exemplify arguments in an engaging and accessible way * Presents a compelling vision of teaching as a reflective practice showing how this requires us to prepare teachers differently","2011","2026-02-02 18:47:42","2026-02-02 18:47:42","","","","","18","","","","The Journal of philosophy of education book series","","","","Wiley","Newark","eng","","","","","","","","","","","Education; Teaching; Moral and ethical aspects","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZBA8QK3","journalArticle","2011","Lee, Mun Yee","The Pursuit of Memory: Examining Art Teaching and Pedagogical Practices through Hannah Arendt's Actor-Spectator Theory/À la recherche de la mémoire : étude de l'enseignement des arts et des pratiques pédagogiques en fonction de la théorie « acteur-spectateur » de Hanna Arendt","Canadian review of art education, research and issues","","0706-8107","","","","2011","2026-02-02 18:47:42","2026-02-02 18:47:42","","33-","","","38","","","","","","","","Canadian Society for Education Through Art","St. Catharines","eng","Copyright Canadian Society for Education Through Art 2011","","","","","","","","","","Pedagogy; Art education; Art teachers; Memory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6B9L2NU5","journalArticle","2005","O’Byrne, Anne","Pedagogy without a Project: Arendt and Derrida on Teaching, Responsibility and Revolution","Studies in philosophy and education","","0039-3746","","","","2005","2026-02-02 18:47:43","2026-02-02 18:47:43","","389-409","","5","24","","","","","","","","Springer Nature B.V","Dordrecht","eng","Springer 2005","","","","","","","","","","Arendt Hannah; Education; Teaching; Pedagogy; Authority; Derrida Jacques; Modernity; Professors; Scientific communities; Universities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4E9C2L3","journalArticle","2019","KORSGAARD, MORTEN TIMMERMANN","Diving for Pearls. Thoughts on Pedagogical Practice and Theory","Journal of philosophy of education","","0309-8249","","","In this paper, the notion of pearl diving as a metaphor for historical methodology is explored as a possible conceptual contribution to pedagogical thinking and practice. Pearl diving in the thinking of Hannah Arendt and Walter Benjamin refers to a process of bringing to life and coming to terms with a fragmented past, and requires of the thinker a form of Homeric impartiality. This they contrast with the processual and functional modern understanding of historiography, where events and things are subsumed by a causal linearity. According to Arendt and Benjamin, our past cannot be understood as though in one piece, but should rather be engaged as fragmented and crystallised into events—or pearls—which can be retrieved and can help us to illuminate our past and to understand our present. This paper considers what such an approach would entail for pedagogical theory and practice, as well as for the work of the pedagogical thinker and the teacher.","2019","2026-02-02 18:47:43","2026-02-02 18:47:43","","180-199","","1","53","","","","","","","","Wiley","HOBOKEN","eng","2018 The Philosophy of Education Society of Great Britain.","","","","","","","","","","Hannah Arendt; Education; Teaching; Education & Educational Research; Educational Practices; History Of Social Sciences; Pedagogy; Social Sciences; Social Sciences - Other Topics; Educational Philosophy; Educational Theories; Educational theory; Figurative Language; Historiography; Pearl Diving; Philosophy of education; Teaching Methods; Walter Benjamin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LISVXT4L","journalArticle","2012","Monig, Julia Maria","Possibly preventing catastrophes: Hannah Arendt on democracy, education and judging","Ethics and education","","1744-9642","","","In this paper, I try to argue why it is worth turning to Hannah Arendt when reflecting on education. I am exploring her political theory in The Human Condition which, with the anthropologic category of natality, seems to offer an interesting approach for democratic education. Apparently everyone can participate in politics or even start a revolution. In Arendt's writings on education, however, tradition, conservatism and authority are required as educational key values. Wondering if Arendt's political theory can nevertheless be helpful for democratic education, I turn to The Life of the Mind. Judging might help us to prevent - through education - the reoccurrence of what happened in Germany during the Shoa. I come to the conclusion that in the end Arendt's thought is not contradictory but coherent if we consider her distinctions between the private, the social and the public as well as between the present, past and future.","2012","2026-02-02 18:47:43","2026-02-02 18:47:43","","237-249","","3","7","","","","","","","","Taylor & Francis Group","Abingdon","eng","Copyright Taylor & Francis Group, LLC 2012","","","","","","","","","","Arendt Hannah; natality; Ethics; Hannah Arendt; Education; Foreign Countries; Pedagogy; Authoritarianism; Conservatism; Democracy; Germany; judging; Political Attitudes; Political participation; Political philosophy; Political theory; Politics; Politics of Education; Shoa; The Human Condition; The Life of the Mind","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CWABA5JT","journalArticle","2019","Zembylas, Michalinos","Encouraging shared responsibility without invoking collective guilt: exploring pedagogical responses to portrayals of suffering and injustice in the classroom","Pedagogy, culture & society","","1468-1366","","","This paper explores how pedagogically productive the idea of invoking feelings of collective guilt in classrooms might be. It attempts to explore not only the persistence of 'collective guilt' in students' responses, but also new possibilities that are opened when 'collective guilt' is reframed as 'shared responsibility'. The analysis addresses the moral, political and pedagogical implications of viewing the phenomena of collective guilt and shared responsibility through the lenses of Hannah Arendt and Iris Marion Young. The paper suggests that, using Arendt's and Young's accounts of shared responsibility offers educators and students opportunities to become aware of their responsibilities as members of particular social groups, rather than getting stuck in guilt. The proposed pedagogy of shared responsibility is not focused on blame, guilt or fault, but rather it has the potential to minimize denials of complicity and instead encourage students to interrogate the conditions under which they are responsive and responsible to others.","2019","2026-02-02 18:47:43","2026-02-02 18:47:43","","403-417","","3","27","","","","","","","","Routledge","Abingdon","eng","2018 Pedagogy, Culture & Society 2018","","","","","","","","","","Arendt Hannah; Hannah Arendt; Pedagogy; Teaching Methods; Anxiety; Classroom Environment; Collective guilt; Educational Methods; Emotions; injustice; Iris Marion Young; Psychological Patterns; Shared Resources and Services; shared responsibility; Social justice; Student Responsibility; suffering; Teacher Responsibility; Young Iris Marion (1949-2006)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VVJ9S8CX","journalArticle","2011","Jamal, Tazim; Watt, E. Melanie","Climate change pedagogy and performative action: toward community-based destination governance","Journal of sustainable tourism","","0966-9582","","","Despite urgent sustainability imperatives, tourism providers and destination managers are slow to undertake initiatives that enable: (1) an informed public (tourists) and (2) an engaged citizenry (residents) to manage resource use, conservation and climate change. This paper draws on concepts from two renowned political theorists, Carole Pateman and Hannah Arendt, and especially from Arendt's theory of human action, which offers insights for a performative and pluralistic theory of civic engagement, multi-stakeholder learning and collaboration. It helps to explore emerging forms of participatory action and climate change pedagogy in the mountain resort of Canmore (Canada), facilitated by the Biosphere Institute, a local nongovernmental organization, that indicate a strong potential. The Mountain Air program involves schoolchildren and businesses in tackling clean air and idling impacts from local transport (including taxis used by visitors). The results of a door-to-door community social marketing campaign, Sustainable Action Canmore, are also discussed. Detailed and ongoing requirements of participatory action are described, and the results of the two programs are analyzed. Links between governance for tourists and residents are explained, and potential lessons for destination managers discussed. In addition, the paper notes the relevance of the Natural Step program, a comprehensive model for planning sustainable development in complex systems.","2011","2026-02-02 18:47:43","2026-02-02 18:47:43","","571-588","","4-5","19","","","","","","","","Taylor & Francis Group","ABINGDON","eng","Copyright Taylor & Francis Group, LLC 2011","","","","","","","","","","Hannah Arendt; Pedagogy; Social Sciences; Social Sciences - Other Topics; Arendt Hannah 1906-75; Biosphere; Business; Canada; Citizen participation; Climate change; climate change pedagogy; community participation; Global warming; Government and politics; Green & Sustainable Science & Technology; Hospitality Leisure Sport & Tourism; local destination governance; Mountains; NGOs; Nongovernmental organizations; performativity; Planning; Science & Technology; Science & Technology - Other Topics; Social marketing; Studies; Sustainable development; theory of human action; Tourism; Tourists; 可持续旅游; 教育; 气候变化; 社会变化; 社区参与; 非政府组织","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YCKHW68J","journalArticle","2013","Locke, Jill","Little Rock's Social Question: Reading Arendt on School Desegregation and Social Climbing","Political theory","","0090-5917","","","This essay interprets Hannah Arendt's concept of the ""social question"" through a reading of her controversial essay ""Reflections on Little Rock."" I argue that Arendt's social question refers to social climbing and not simply poverty, as she initially suggests. The social-climbing framework illuminates ""Little Rock"" in two ways. First, it explains why Arendt opposed mandatory school desegregation, which she saw as black social climbing, that is, African American citizens and the NAACP using the US courts and federal government to raise the status of African Americans to the level of whites. Second, and more significant, it provides a framework for criticizing ""Little Rock"" with Arendt's own standards and criteria in mind. Reminded by Arendt of the suspect politics of social climbing, we can see something she did not: segregation was not ""natural"" association but an institution established after the Civil War to protect white social climbing and social advancement.","2013","2026-02-02 18:47:43","2026-02-02 18:47:43","","533-561","","4","41","","","","","","","","Sage Publications","Los Angeles, CA","eng","Copyright © 2013 Sage Publications","","","","","","","","","","Arendt Hannah; Philosophy; Pedagogy; Social Sciences; Political philosophy; Political theory; African Americans; Children; Citizens; Civil Rights Organizations; Civil war; Climbing; Colors; Courts; Criteria; Criticism; Desegregation; Education policy; Essays; Federal Government; Government & Law; Philosophy of history. Social and political philosophy. Philosophy of law; Political revolutions; Political Science; Poverty; Questions; Racial segregation; School Desegregation; School segregation; Segregation; Slavery; Social and political philosophy; U.S.A; Upward mobility; White people","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AVVHYFLS","journalArticle","2012","Lange, Lis","Understanding and action: Thinking with Arendt about democratic education","Perspectives in education","","0258-2236","","","Taking as its point of departure Ahier’s location of the problem of citizenship in the context of the changes that globalisation and neo-liberalism have brought about in higher education, this article focuses on the conceptual preconditions that need to underpin the idea of ‘teaching’ citizenship through the university curriculum. The article takes the republican notion of citizenship and Hannah Arendt’s contribution to thinking politics, citizenship and education to propose a political pedagogy that can help foster a citizenship identity that counters the individualist identities provided by the insidious influence of the market in higher education.","2012","2026-02-02 18:47:43","2026-02-02 18:53:02","","","","4","30","","","","","","","","University of the Free State","","eng","","","","","","","","","","","Arendt Hannah; Citizenship; Curricula; Teaching; Education & Educational Research; Foreign Countries; Pedagogy; Role of Education; Social Sciences; Democracy; Politics; Politics of Education; Arendt; pedagogy; public sphere; Freedom; Identity; Citizenship Education; Civic education; College Curriculum; Colleges & universities; Community Relations; Curriculum; Educational Change; Educational Policy; Globalization; Higher Education; Individualism; Liberalism; Neoliberalism; Participation; Public sphere; Self concept; Society; South Africa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UN2ILXHC","journalArticle","2020","Božic, Andrej","Paulina Sosnowska: HANNAH ARENDT AND MARTIN HEIDEGGER. PHILOSOPHY, MODERNITY, AND EDUCATION","Phainomena","","1318-3362","","","Instead of attempting to elaborate-upon the re-presented, pre-supposed background of the teacher's thought-the influence of Heidegger's hermeneutic phenomenology on the development of Arendt's political theory, Sosnowska-in a certain ""reversal"" of the pedagogical rapport (subtly indicated in the title)-re-traces, giving preference to the perspective of the student, seeking, through(out) Arendt's entire oeuvre, for underlying convergences and fundamental divergences, for in-commensurable in-congruences with Heidegger, but (thereby) avoiding also the potential pitfalls of a biographical ""explanation"" of the conceptual, the conditions (of possibility) for the philosophical dimension of the relationship between both authors, insofar as it, as already the subtitle of the study suggests, concerns the problematic of education within the modern-as well as the present-day (post-?modern?)-world. (147) In the final part of the book, Sosnowska, upon the basis of preceding reflections, explores the consequences the situation, where classical tradition cannot deliver any solutions, may convey for what totalitarian cataclysms had bequeathed to posterity as the pedagogical task of philosophy. [...]as if (almost) by necessity of the debated problematic itself, the author is compelled to quest, with-and beyond-Arendt, for (ostensibly un-likely) allies among her predecessors and her successors alike, who-in one way or another-surpass (through) the confinement of the ""Heideggerian"" con-text(s): on the one hand, Johann Gottfried Herder's remarks on finiteness and historicity, on linguality and intersubjectivity, as well as, on the other hand, genealogies of (bio)political power by Michel Foucault and of state of exception by Giorgio Agamben (continue to) offer fundamental contributions to the function of philosophical critique for the preservation of essential plurality determining the human condition. The extraordinary achievement of the book Hannah Arendt and Martin Heidegger that deserves attentive readers both among the scholars of the two authors as well as among pedagogues interested in the philosophical dimension of educational efforts exhorts, by re-awakening the promise of thinking, of its potentiality, of its potency, to the ""vigilance""-but by no means to a ""vigilantism""-of thoughtfulness in a thoughtless, dark time. Since the destiny of a review lies in submitting a mere-more or (rather) less suitable-sketch of the book's thematic abundance, maybe the re-sounding words of a poet, of Robert Frost's poem ""Stopping by Woods on a Snowy Evening,"" nonetheless can, with regard to Sosnowska's work, propose-how many times heard? how many times hearkened to?-a fitting end, a beginning: ""The woods are lovely, dark and deep, / But I have promises to keep, / And miles to go before I sleep, / And miles to go before I sleep.""","2020","2026-02-02 18:47:43","2026-02-02 18:47:43","","329-333","","112/113","29","","","","","","","","Zalozbe Nova Revija","Ljubljana","eng","Copyright Zalozbe Nova Revija Jun 2020","","","","","","","","","","Arendt Hannah; Philosophy; Education; Pedagogy; Modernity; Politics; 20th century; Exegesis & hermeneutics; Foucault Michel; Heidegger Martin (1889-1976); Ontology; Poetry; Traditions","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XV7RMDKR","journalArticle","2024","Thoilliez, Bianca; Wortmann, Kai","Education rejected and intergenerational failures","Educational philosophy and theory","","0013-1857","","","This article interlaces the story 'Comfort' by Alice Munro with Hannah Arendt's understanding of education as intergenerational passing on. Its principal aim is not to criticise Arendt or the fictional character of Lewis but to work with them towards a richer and more complex understanding of what can go wrong in education in general and teaching in particular. For this purpose, the article does not start from a theoretical framework but from the concrete aesthetic artifact - the story - itself. The departing question is: What can we learn from the literary description for our theoretical understanding of the intergenerational in educational relations?","2024","2026-02-02 18:47:44","2026-02-02 18:47:44","","1088-1100","","11","56","","","","","","","","Routledge","ABINGDON","eng","2024 Philosophy of Education Society of Australasia 2024","","","","","","","","","","Arendt Hannah; Hannah Arendt; Education; Teaching; Education & Educational Research; Educational philosophy; Pedagogy; Social Sciences; Educational theory; Alice Munro; educational relationships; Intergenerational relationships; Munro Alice; Post-critical pedagogy; Understanding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARF9664N","journalArticle","2020","CONROY, JAMES","Caught in the Middle: Arendt, Childhood and Responsibility","Journal of philosophy of education","","0309-8249","","","This essay critiques the infection of the curriculum with the concerns of the adult political community, treating successive generations of children as if they were responsible for changing the world and that education was the vehicle. Such impulses are, in part, the result of a failure to consider childhood as a particular, liminal, space rather than a refraction of the public spaces of the agora. The drive to see education as a vehicle and schools as the site of political change is not confined to the ideological obsessions of Right or Left; both may be considered culpable. Here I illustrate the normative problem through the particulars of a number of socio‐political challenges faced by ‘the World’, and in each case show why it is inappropriate to treat the school and education as the solution. Rather than teaching children how to solve the challenges of the agora, I suggest that what we in actuality do, is teach them the art and artifice of deferral and procrastination because we have failed to assume responsibility for the world. Drawing on Arendt's insights on natality, I suggest that schools should be spaces of ‘qualified’ shelter and that students should not be exposed to the harshness of political choice, nor should teachers merely act as a surrogate for political interests irrespective of their provenance or driving imperative.","2020","2026-02-02 18:47:44","2026-02-02 18:47:44","","23-42","","1","54","","","","","","","","Oxford Univ Press","OXFORD","eng","2019 The Philosophy of Education Society of Great Britain.","","","","","","","","","","Arendt Hannah; Curricula; Education & Educational Research; History Of Social Sciences; Pedagogy; Role of Education; Social Sciences; Social Sciences - Other Topics; Educational Philosophy; Politics; Politics of Education; Children; Ideology; Responsibility","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32QTNCXM","journalArticle","2019","VLIEGHE, JORIS; ZAMOJSKI, PIOTR","Out of Love for Some‐Thing: An Ontological Exploration of the Roots of Teaching with Arendt, Badiou and Scheler","Journal of philosophy of education","","0309-8249","","","In this article we develop the idea that there exists a unique educational love and that it moreover can be identified as essential to education. First, developing Arendt's claim that education is about the existing generation introducing newcomers to the world, we argue that the object‐side of educational love is not the student, but first and foremost the thing that is studied in the classroom. Educational love is love for the world, not for a person. It expresses itself in the act of affirming that a particular thing is interesting: a part of the world that is worth the effort of being studied together with the new generation. Second, we follow Badiou's account of love as the labour of fidelity to the event, in order to render teaching in terms of staying faithful to one's falling in love with a particular subject matter. Teaching is therefore a continuous attempt at making this event of falling in love present in the classroom. Thus, love for the thing materialises itself in an effort to make the thing endure and to show to the next generation that it is worth of care and attention. Finally, indicating the erotic and agapeic dimension of educational love we turn to Scheler and his position on love and hate as two distinct ways of relating with the world, which respectively come down to an opening and a narrowing‐down mode of world‐disclosure.","2019","2026-02-02 18:47:44","2026-02-02 18:47:44","","518-530","","3","53","","","","","","","","Oxford Univ Press","OXFORD","eng","2019 The Philosophy of Education Society of Great Britain.","","","","","","","","","","Arendt Hannah; Education & Educational Research; History Of Social Sciences; Pedagogy; Social Sciences; Social Sciences - Other Topics; Educational Philosophy; Teaching Methods; Ontology; Badiou Alain; Disclosure; Intellectual Disciplines; Intimacy; Learning Motivation; Scheler Max","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M7H4GE7U","journalArticle","2012","Biesta, Gert","Becoming public: public pedagogy, citizenship and the public sphere","Social & cultural geography","","1464-9365","","","This paper explores the question what kind of educational work can be done in attempts to reclaim or reinvigorate the public sphere. Through a discussion of the intersection of public sphere and public space, it engages with the work of Hannah Arendt in order to outline a conception of the public sphere as a space for civic action based on distance and the conservation of a degree strangeness rather than on commonality and common identity. The discussion of the educational work that can be done to support the public quality of common spaces and places focuses on three interpretations of the idea of public pedagogy: that of public pedagogy as a pedagogy for the public, that of public pedagogy as a pedagogy of the public and that of public pedagogy as the enactment of a concern for the public quality of human togetherness. The latter form of public pedagogy neither teaches nor erases the political by bringing it under a regime of learning, but rather opens up the possibility for forms of human togetherness through which freedom can appear, that is forms of human togetherness which contribute to the 'becoming public' of spaces and places.","2012","2026-02-02 18:47:44","2026-02-02 18:47:44","","683-697","","7","13","","","","","","","","Taylor & Francis Group","ABINGDON","eng","Copyright Taylor & Francis Group, LLC 2012","","","","","","","","","","Arendt Hannah; Citizenship; Education; Pedagogy; Social Sciences; Arendt; citoyenneté; ciudadanía; Conservation; domaine public; educación; éducation; esfera pública; Freedom; Geography; identidad; identité; Identity; pedagogía pública; pédagogie publique; public pedagogy; Public Space; Public spaces; Public Sphere","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6DWINDJ6","journalArticle","2024","Ruankool, Nopparat","COVID-19 and religious education reimagined: discovering a reflective space through Hannah Arendt's concept of thinking","British journal of religious education","","0141-6200","","","Following the outbreak of the COVID-19 pandemic and its rapid spread around the world, the normality of people's lives was disrupted. Education was not immune from this. In many countries, to limit the spread of the infection, students were required by the government to study remotely. This social isolation in a limited space generated concerns among educators about the quality of learning, notably through virtual platforms. However, this crisis also brought with it an opportunity for change for the better. Social distancing could allow for a 'reflective space' that extended students' learning beyond the physical space. This research paper explores how the disruption of the normality of our lives and the provision of reflective space might enrich religious education, both in terms of curriculum and pedagogy. I will analyse this issue philosophically in light of Hannah Arendt's concept of 'thinking'. This thinking refers to the quest for meaning which occurs when we withdraw ourselves from inter homines esse (being among humans) into a solitary realm. Drawing on Arendt's ideas, I argue that the reflective space enables us to reimagine religious education such that it better prepares students from across the cultural and religious spectrum for a democratic society.","2024","2026-02-02 18:47:44","2026-02-02 18:47:44","","236-244","","3","46","","","","","","","","Routledge","ABINGDON","eng","2023 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group. 2023","","","","","","","","","","Arendt Hannah; Education & Educational Research; Social Sciences; Arts & Humanities; COVID-19; Educational Quality; reflective space; Religion; Religious education; thinking","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
